Lay Order,title,Collection,Category,Description,Number of Patterns,Design,Composition,Martindale,After Care,Width (cm),Usage,Fire Rating,URLs,Domain,Folder,attachment,spare 1,spare 2
7,014 Camel,Coastal,Plains,"This exquisite linen mix offers a beautiful soft supple handle, giving you style & versatility and with 43 sophisticated shades there's a colour for everyone.",43,Plains,"43% Linen, 29% Cotton, 19% Viscose, 9% Polyester","40,000",Professional Dry Clean in situ,138,Heavy Domestic,"Supplied Back coated to Cigarette & Match to BS5852, other treatments are available upon request.",https://www.jbrownfabrics.uk/assets/collections/,coastal/,007-coastal-014-camel.jpg,https://www.jbrownfabrics.uk/assets/collections/coastal/007-coastal-014-camel.jpg,,
8,051 Beige,Coastal,Plains,"This exquisite linen mix offers a beautiful soft supple handle, giving you style & versatility and with 43 sophisticated shades there's a colour for everyone.",43,Plains,"43% Linen, 29% Cotton, 19% Viscose, 9% Polyester","40,000",Professional Dry Clean in situ,138,Heavy Domestic,"Supplied Back coated to Cigarette & Match to BS5852, other treatments are available upon request.",https://www.jbrownfabrics.uk/assets/collections/,coastal/,008-coastal-051-beige.jpg,https://www.jbrownfabrics.uk/assets/collections/coastal/008-coastal-051-beige.jpg,,
9,203 Hessian,Coastal,Plains,"This exquisite linen mix offers a beautiful soft supple handle, giving you style & versatility and with 43 sophisticated shades there's a colour for everyone.",43,Plains,"43% Linen, 29% Cotton, 19% Viscose, 9% Polyester","40,000",Professional Dry Clean in situ,138,Heavy Domestic,"Supplied Back coated to Cigarette & Match to BS5852, other treatments are available upon request.",https://www.jbrownfabrics.uk/assets/collections/,coastal/,009-coastal-203-hessian.jpg,https://www.jbrownfabrics.uk/assets/collections/coastal/009-coastal-203-hessian.jpg,,
10,174 Stone,Coastal,Plains,"This exquisite linen mix offers a beautiful soft supple handle, giving you style & versatility and with 43 sophisticated shades there's a colour for everyone.",43,Plains,"43% Linen, 29% Cotton, 19% Viscose, 9% Polyester","40,000",Professional Dry Clean in situ,138,Heavy Domestic,"Supplied Back coated to Cigarette & Match to BS5852, other treatments are available upon request.",https://www.jbrownfabrics.uk/assets/collections/,coastal/,010-coastal-174-stone.jpg,https://www.jbrownfabrics.uk/assets/collections/coastal/010-coastal-174-stone.jpg,,
11,175 Latte,Coastal,Plains,"This exquisite linen mix offers a beautiful soft supple handle, giving you style & versatility and with 43 sophisticated shades there's a colour for everyone.",43,Plains,"43% Linen, 29% Cotton, 19% Viscose, 9% Polyester","40,000",Professional Dry Clean in situ,138,Heavy Domestic,"Supplied Back coated to Cigarette & Match to BS5852, other treatments are available upon request.",https://www.jbrownfabrics.uk/assets/collections/,coastal/,011-coastal-175-latte.jpg,https://www.jbrownfabrics.uk/assets/collections/coastal/011-coastal-175-latte.jpg,,
12,183 Mocha,Coastal,Plains,"This exquisite linen mix offers a beautiful soft supple handle, giving you style & versatility and with 43 sophisticated shades there's a colour for everyone.",43,Plains,"43% Linen, 29% Cotton, 19% Viscose, 9% Polyester","40,000",Professional Dry Clean in situ,138,Heavy Domestic,"Supplied Back coated to Cigarette & Match to BS5852, other treatments are available upon request.",https://www.jbrownfabrics.uk/assets/collections/,coastal/,012-coastal-183-mocha.jpg,https://www.jbrownfabrics.uk/assets/collections/coastal/012-coastal-183-mocha.jpg,,
13,015 Khaki,Coastal,Plains,"This exquisite linen mix offers a beautiful soft supple handle, giving you style & versatility and with 43 sophisticated shades there's a colour for everyone.",43,Plains,"43% Linen, 29% Cotton, 19% Viscose, 9% Polyester","40,000",Professional Dry Clean in situ,138,Heavy Domestic,"Supplied Back coated to Cigarette & Match to BS5852, other treatments are available upon request.",https://www.jbrownfabrics.uk/assets/collections/,coastal/,013-coastal-015-khaki.jpg,https://www.jbrownfabrics.uk/assets/collections/coastal/013-coastal-015-khaki.jpg,,
14,052 Steel,Coastal,Plains,"This exquisite linen mix offers a beautiful soft supple handle, giving you style & versatility and with 43 sophisticated shades there's a colour for everyone.",43,Plains,"43% Linen, 29% Cotton, 19% Viscose, 9% Polyester","40,000",Professional Dry Clean in situ,138,Heavy Domestic,"Supplied Back coated to Cigarette & Match to BS5852, other treatments are available upon request.",https://www.jbrownfabrics.uk/assets/collections/,coastal/,014-coastal-052-steel.jpg,https://www.jbrownfabrics.uk/assets/collections/coastal/014-coastal-052-steel.jpg,,
15,029 Grey,Coastal,Plains,"This exquisite linen mix offers a beautiful soft supple handle, giving you style & versatility and with 43 sophisticated shades there's a colour for everyone.",43,Plains,"43% Linen, 29% Cotton, 19% Viscose, 9% Polyester","40,000",Professional Dry Clean in situ,138,Heavy Domestic,"Supplied Back coated to Cigarette & Match to BS5852, other treatments are available upon request.",https://www.jbrownfabrics.uk/assets/collections/,coastal/,015-coastal-029-grey.jpg,https://www.jbrownfabrics.uk/assets/collections/coastal/015-coastal-029-grey.jpg,,
16,047 Atmosphere,Coastal,Plains,"This exquisite linen mix offers a beautiful soft supple handle, giving you style & versatility and with 43 sophisticated shades there's a colour for everyone.",43,Plains,"43% Linen, 29% Cotton, 19% Viscose, 9% Polyester","40,000",Professional Dry Clean in situ,138,Heavy Domestic,"Supplied Back coated to Cigarette & Match to BS5852, other treatments are available upon request.",https://www.jbrownfabrics.uk/assets/collections/,coastal/,016-coastal-047-atmosphere.jpg,https://www.jbrownfabrics.uk/assets/collections/coastal/016-coastal-047-atmosphere.jpg,,
17,002 Jade,Coastal,Plains,"This exquisite linen mix offers a beautiful soft supple handle, giving you style & versatility and with 43 sophisticated shades there's a colour for everyone.",43,Plains,"43% Linen, 29% Cotton, 19% Viscose, 9% Polyester","40,000",Professional Dry Clean in situ,138,Heavy Domestic,"Supplied Back coated to Cigarette & Match to BS5852, other treatments are available upon request.",https://www.jbrownfabrics.uk/assets/collections/,coastal/,017-coastal-002-jade.jpg,https://www.jbrownfabrics.uk/assets/collections/coastal/017-coastal-002-jade.jpg,,
18,200 Duck Egg,Coastal,Plains,"This exquisite linen mix offers a beautiful soft supple handle, giving you style & versatility and with 43 sophisticated shades there's a colour for everyone.",43,Plains,"43% Linen, 29% Cotton, 19% Viscose, 9% Polyester","40,000",Professional Dry Clean in situ,138,Heavy Domestic,"Supplied Back coated to Cigarette & Match to BS5852, other treatments are available upon request.",https://www.jbrownfabrics.uk/assets/collections/,coastal/,018-coastal-200-duck-egg.jpg,https://www.jbrownfabrics.uk/assets/collections/coastal/018-coastal-200-duck-egg.jpg,,
19,179 Wedgwood,Coastal,Plains,"This exquisite linen mix offers a beautiful soft supple handle, giving you style & versatility and with 43 sophisticated shades there's a colour for everyone.",43,Plains,"43% Linen, 29% Cotton, 19% Viscose, 9% Polyester","40,000",Professional Dry Clean in situ,138,Heavy Domestic,"Supplied Back coated to Cigarette & Match to BS5852, other treatments are available upon request.",https://www.jbrownfabrics.uk/assets/collections/,coastal/,019-coastal-179-wedgwood.jpg,https://www.jbrownfabrics.uk/assets/collections/coastal/019-coastal-179-wedgwood.jpg,,
20,201 Mist,Coastal,Plains,"This exquisite linen mix offers a beautiful soft supple handle, giving you style & versatility and with 43 sophisticated shades there's a colour for everyone.",43,Plains,"43% Linen, 29% Cotton, 19% Viscose, 9% Polyester","40,000",Professional Dry Clean in situ,138,Heavy Domestic,"Supplied Back coated to Cigarette & Match to BS5852, other treatments are available upon request.",https://www.jbrownfabrics.uk/assets/collections/,coastal/,020-coastal-201-mist.jpg,https://www.jbrownfabrics.uk/assets/collections/coastal/020-coastal-201-mist.jpg,,
21,191 Silver,Coastal,Plains,"This exquisite linen mix offers a beautiful soft supple handle, giving you style & versatility and with 43 sophisticated shades there's a colour for everyone.",43,Plains,"43% Linen, 29% Cotton, 19% Viscose, 9% Polyester","40,000",Professional Dry Clean in situ,138,Heavy Domestic,"Supplied Back coated to Cigarette & Match to BS5852, other treatments are available upon request.",https://www.jbrownfabrics.uk/assets/collections/,coastal/,021-coastal-191-silver.jpg,https://www.jbrownfabrics.uk/assets/collections/coastal/021-coastal-191-silver.jpg,,
22,167 Cloud,Coastal,Plains,"This exquisite linen mix offers a beautiful soft supple handle, giving you style & versatility and with 43 sophisticated shades there's a colour for everyone.",43,Plains,"43% Linen, 29% Cotton, 19% Viscose, 9% Polyester","40,000",Professional Dry Clean in situ,138,Heavy Domestic,"Supplied Back coated to Cigarette & Match to BS5852, other treatments are available upon request.",https://www.jbrownfabrics.uk/assets/collections/,coastal/,022-coastal-167-cloud.jpg,https://www.jbrownfabrics.uk/assets/collections/coastal/022-coastal-167-cloud.jpg,,
23,188 Smoke,Coastal,Plains,"This exquisite linen mix offers a beautiful soft supple handle, giving you style & versatility and with 43 sophisticated shades there's a colour for everyone.",43,Plains,"43% Linen, 29% Cotton, 19% Viscose, 9% Polyester","40,000",Professional Dry Clean in situ,138,Heavy Domestic,"Supplied Back coated to Cigarette & Match to BS5852, other treatments are available upon request.",https://www.jbrownfabrics.uk/assets/collections/,coastal/,023-coastal-188-smoke.jpg,https://www.jbrownfabrics.uk/assets/collections/coastal/023-coastal-188-smoke.jpg,,
24,185 Cappuccino,Coastal,Plains,"This exquisite linen mix offers a beautiful soft supple handle, giving you style & versatility and with 43 sophisticated shades there's a colour for everyone.",43,Plains,"43% Linen, 29% Cotton, 19% Viscose, 9% Polyester","40,000",Professional Dry Clean in situ,138,Heavy Domestic,"Supplied Back coated to Cigarette & Match to BS5852, other treatments are available upon request.",https://www.jbrownfabrics.uk/assets/collections/,coastal/,024-coastal-185-cappuccino.jpg,https://www.jbrownfabrics.uk/assets/collections/coastal/024-coastal-185-cappuccino.jpg,,
25,198 Chrome,Coastal,Plains,"This exquisite linen mix offers a beautiful soft supple handle, giving you style & versatility and with 43 sophisticated shades there's a colour for everyone.",43,Plains,"43% Linen, 29% Cotton, 19% Viscose, 9% Polyester","40,000",Professional Dry Clean in situ,138,Heavy Domestic,"Supplied Back coated to Cigarette & Match to BS5852, other treatments are available upon request.",https://www.jbrownfabrics.uk/assets/collections/,coastal/,025-coastal-198-chrome.jpg,https://www.jbrownfabrics.uk/assets/collections/coastal/025-coastal-198-chrome.jpg,,
26,180 Regency Grey,Coastal,Plains,"This exquisite linen mix offers a beautiful soft supple handle, giving you style & versatility and with 43 sophisticated shades there's a colour for everyone.",43,Plains,"43% Linen, 29% Cotton, 19% Viscose, 9% Polyester","40,000",Professional Dry Clean in situ,138,Heavy Domestic,"Supplied Back coated to Cigarette & Match to BS5852, other treatments are available upon request.",https://www.jbrownfabrics.uk/assets/collections/,coastal/,026-coastal-180-regency-grey.jpg,https://www.jbrownfabrics.uk/assets/collections/coastal/026-coastal-180-regency-grey.jpg,,
27,181 Gallant Grey,Coastal,Plains,"This exquisite linen mix offers a beautiful soft supple handle, giving you style & versatility and with 43 sophisticated shades there's a colour for everyone.",43,Plains,"43% Linen, 29% Cotton, 19% Viscose, 9% Polyester","40,000",Professional Dry Clean in situ,138,Heavy Domestic,"Supplied Back coated to Cigarette & Match to BS5852, other treatments are available upon request.",https://www.jbrownfabrics.uk/assets/collections/,coastal/,027-coastal-181-gallant-grey.jpg,https://www.jbrownfabrics.uk/assets/collections/coastal/027-coastal-181-gallant-grey.jpg,,
28,193 Ash,Coastal,Plains,"This exquisite linen mix offers a beautiful soft supple handle, giving you style & versatility and with 43 sophisticated shades there's a colour for everyone.",43,Plains,"43% Linen, 29% Cotton, 19% Viscose, 9% Polyester","40,000",Professional Dry Clean in situ,138,Heavy Domestic,"Supplied Back coated to Cigarette & Match to BS5852, other treatments are available upon request.",https://www.jbrownfabrics.uk/assets/collections/,coastal/,028-coastal-193-ash.jpg,https://www.jbrownfabrics.uk/assets/collections/coastal/028-coastal-193-ash.jpg,,
29,199 Denim,Coastal,Plains,"This exquisite linen mix offers a beautiful soft supple handle, giving you style & versatility and with 43 sophisticated shades there's a colour for everyone.",43,Plains,"43% Linen, 29% Cotton, 19% Viscose, 9% Polyester","40,000",Professional Dry Clean in situ,138,Heavy Domestic,"Supplied Back coated to Cigarette & Match to BS5852, other treatments are available upon request.",https://www.jbrownfabrics.uk/assets/collections/,coastal/,029-coastal-199-denim.jpg,https://www.jbrownfabrics.uk/assets/collections/coastal/029-coastal-199-denim.jpg,,
30,197 Praline,Coastal,Plains,"This exquisite linen mix offers a beautiful soft supple handle, giving you style & versatility and with 43 sophisticated shades there's a colour for everyone.",43,Plains,"43% Linen, 29% Cotton, 19% Viscose, 9% Polyester","40,000",Professional Dry Clean in situ,138,Heavy Domestic,"Supplied Back coated to Cigarette & Match to BS5852, other treatments are available upon request.",https://www.jbrownfabrics.uk/assets/collections/,coastal/,030-coastal-197-praline.jpg,https://www.jbrownfabrics.uk/assets/collections/coastal/030-coastal-197-praline.jpg,,
31,186 Wheatgrass,Coastal,Plains,"This exquisite linen mix offers a beautiful soft supple handle, giving you style & versatility and with 43 sophisticated shades there's a colour for everyone.",43,Plains,"43% Linen, 29% Cotton, 19% Viscose, 9% Polyester","40,000",Professional Dry Clean in situ,138,Heavy Domestic,"Supplied Back coated to Cigarette & Match to BS5852, other treatments are available upon request.",https://www.jbrownfabrics.uk/assets/collections/,coastal/,031-coastal-186-wheatgrass.jpg,https://www.jbrownfabrics.uk/assets/collections/coastal/031-coastal-186-wheatgrass.jpg,,
32,164 Blush,Coastal,Plains,"This exquisite linen mix offers a beautiful soft supple handle, giving you style & versatility and with 43 sophisticated shades there's a colour for everyone.",43,Plains,"43% Linen, 29% Cotton, 19% Viscose, 9% Polyester","40,000",Professional Dry Clean in situ,138,Heavy Domestic,"Supplied Back coated to Cigarette & Match to BS5852, other treatments are available upon request.",https://www.jbrownfabrics.uk/assets/collections/,coastal/,032-coastal-164-blush.jpg,https://www.jbrownfabrics.uk/assets/collections/coastal/032-coastal-164-blush.jpg,,
33,187 Heather,Coastal,Plains,"This exquisite linen mix offers a beautiful soft supple handle, giving you style & versatility and with 43 sophisticated shades there's a colour for everyone.",43,Plains,"43% Linen, 29% Cotton, 19% Viscose, 9% Polyester","40,000",Professional Dry Clean in situ,138,Heavy Domestic,"Supplied Back coated to Cigarette & Match to BS5852, other treatments are available upon request.",https://www.jbrownfabrics.uk/assets/collections/,coastal/,033-coastal-187-heather.jpg,https://www.jbrownfabrics.uk/assets/collections/coastal/033-coastal-187-heather.jpg,,
34,023 Plum,Coastal,Plains,"This exquisite linen mix offers a beautiful soft supple handle, giving you style & versatility and with 43 sophisticated shades there's a colour for everyone.",43,Plains,"43% Linen, 29% Cotton, 19% Viscose, 9% Polyester","40,000",Professional Dry Clean in situ,138,Heavy Domestic,"Supplied Back coated to Cigarette & Match to BS5852, other treatments are available upon request.",https://www.jbrownfabrics.uk/assets/collections/,coastal/,034-coastal-023-plum.jpg,https://www.jbrownfabrics.uk/assets/collections/coastal/034-coastal-023-plum.jpg,,
